"Time","Contracts","Funding Interval","Funding Rate"
"2025-03-22 17:00:00","SUIUSDC Perpetual","8h","0.001761%"
"2025-03-22 09:00:00","SUIUSDC Perpetual","8h","-0.006096%"
"2025-03-22 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-21 17:00:00","SUIUSDC Perpetual","8h","0.009071%"
"2025-03-21 09:00:00","SUIUSDC Perpetual","8h","-0.003632%"
"2025-03-21 01:00:00","SUIUSDC Perpetual","8h","-0.001705%"
"2025-03-20 17:00:00","SUIUSDC Perpetual","8h","-0.011797%"
"2025-03-20 09:00:00","SUIUSDC Perpetual","8h","-0.003092%"
"2025-03-20 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-19 17:00:00","SUIUSDC Perpetual","8h","0.009702%"
"2025-03-19 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-19 01:00:00","SUIUSDC Perpetual","8h","-0.002804%"
"2025-03-18 17:00:00","SUIUSDC Perpetual","8h","-0.033990%"
"2025-03-18 09:00:00","SUIUSDC Perpetual","8h","-0.000101%"
"2025-03-18 01:00:00","SUIUSDC Perpetual","8h","0.002679%"
"2025-03-17 17:00:00","SUIUSDC Perpetual","8h","0.005828%"
"2025-03-17 09:00:00","SUIUSDC Perpetual","8h","-0.014691%"
"2025-03-17 01:00:00","SUIUSDC Perpetual","8h","0.002659%"
"2025-03-16 17:00:00","SUIUSDC Perpetual","8h","0.006736%"
"2025-03-16 09:00:00","SUIUSDC Perpetual","8h","-0.001241%"
"2025-03-16 01:00:00","SUIUSDC Perpetual","8h","0.005509%"
"2025-03-15 17:00:00","SUIUSDC Perpetual","8h","-0.001609%"
"2025-03-15 09:00:00","SUIUSDC Perpetual","8h","0.004882%"
"2025-03-15 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-14 17:00:00","SUIUSDC Perpetual","8h","0.002712%"
"2025-03-14 09:00:00","SUIUSDC Perpetual","8h","-0.000327%"
"2025-03-14 01:00:00","SUIUSDC Perpetual","8h","0.001246%"
"2025-03-13 17:00:00","SUIUSDC Perpetual","8h","-0.010244%"
"2025-03-13 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-13 01:00:00","SUIUSDC Perpetual","8h","0.003279%"
"2025-03-12 17:00:00","SUIUSDC Perpetual","8h","-0.017039%"
"2025-03-12 09:00:00","SUIUSDC Perpetual","8h","-0.004210%"
"2025-03-12 01:00:00","SUIUSDC Perpetual","8h","0.005145%"
"2025-03-11 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-11 09:00:00","SUIUSDC Perpetual","8h","0.006640%"
"2025-03-11 01:00:00","SUIUSDC Perpetual","8h","-0.001109%"
"2025-03-10 17:00:00","SUIUSDC Perpetual","8h","-0.000494%"
"2025-03-10 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-10 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-09 17:00:00","SUIUSDC Perpetual","8h","-0.000725%"
"2025-03-09 09:00:00","SUIUSDC Perpetual","8h","-0.005750%"
"2025-03-09 01:00:00","SUIUSDC Perpetual","8h","-0.020240%"
"2025-03-08 17:00:00","SUIUSDC Perpetual","8h","-0.003338%"
"2025-03-08 09:00:00","SUIUSDC Perpetual","8h","-0.005624%"
"2025-03-08 01:00:00","SUIUSDC Perpetual","8h","-0.010646%"
"2025-03-07 17:00:00","SUIUSDC Perpetual","8h","-0.064309%"
"2025-03-07 09:00:00","SUIUSDC Perpetual","8h","-0.030468%"
"2025-03-07 01:00:00","SUIUSDC Perpetual","8h","-0.026179%"
"2025-03-06 17:00:00","SUIUSDC Perpetual","8h","-0.028903%"
"2025-03-06 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-06 01:00:00","SUIUSDC Perpetual","8h","-0.021165%"
"2025-03-05 17:00:00","SUIUSDC Perpetual","8h","-0.007246%"
"2025-03-05 09:00:00","SUIUSDC Perpetual","8h","0.001481%"
"2025-03-05 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-04 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-04 09:00:00","SUIUSDC Perpetual","8h","0.002970%"
"2025-03-04 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-03 17:00:00","SUIUSDC Perpetual","8h","0.006559%"
"2025-03-03 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-03 01:00:00","SUIUSDC Perpetual","8h","0.005983%"
"2025-03-02 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-02 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-02 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-03-01 17:00:00","SUIUSDC Perpetual","8h","-0.009328%"
"2025-03-01 09:00:00","SUIUSDC Perpetual","8h","0.009198%"
"2025-03-01 01:00:00","SUIUSDC Perpetual","8h","0.005853%"
"2025-02-28 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-28 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-28 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-27 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-27 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-27 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-26 17:00:00","SUIUSDC Perpetual","8h","-0.006215%"
"2025-02-26 09:00:00","SUIUSDC Perpetual","8h","-0.000714%"
"2025-02-26 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-25 17:00:00","SUIUSDC Perpetual","8h","0.002239%"
"2025-02-25 09:00:00","SUIUSDC Perpetual","8h","-0.014398%"
"2025-02-25 01:00:00","SUIUSDC Perpetual","8h","0.001369%"
"2025-02-24 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-24 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-24 01:00:00","SUIUSDC Perpetual","8h","0.006038%"
"2025-02-23 17:00:00","SUIUSDC Perpetual","8h","-0.007492%"
"2025-02-23 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-23 01:00:00","SUIUSDC Perpetual","8h","0.001159%"
"2025-02-22 17:00:00","SUIUSDC Perpetual","8h","-0.003968%"
"2025-02-22 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-22 01:00:00","SUIUSDC Perpetual","8h","-0.011308%"
"2025-02-21 17:00:00","SUIUSDC Perpetual","8h","-0.012081%"
"2025-02-21 09:00:00","SUIUSDC Perpetual","8h","-0.016163%"
"2025-02-21 01:00:00","SUIUSDC Perpetual","8h","-0.016495%"
"2025-02-20 17:00:00","SUIUSDC Perpetual","8h","-0.010169%"
"2025-02-20 09:00:00","SUIUSDC Perpetual","8h","-0.007752%"
"2025-02-20 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-19 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-19 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-19 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-18 17:00:00","SUIUSDC Perpetual","8h","0.007109%"
"2025-02-18 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-18 01:00:00","SUIUSDC Perpetual","8h","-0.000030%"
"2025-02-17 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-17 09:00:00","SUIUSDC Perpetual","8h","0.008402%"
"2025-02-17 01:00:00","SUIUSDC Perpetual","8h","-0.002360%"
"2025-02-16 17:00:00","SUIUSDC Perpetual","8h","-0.001764%"
"2025-02-16 09:00:00","SUIUSDC Perpetual","8h","-0.006366%"
"2025-02-16 01:00:00","SUIUSDC Perpetual","8h","-0.005902%"
"2025-02-15 17:00:00","SUIUSDC Perpetual","8h","-0.018879%"
"2025-02-15 09:00:00","SUIUSDC Perpetual","8h","-0.014552%"
"2025-02-15 01:00:00","SUIUSDC Perpetual","8h","-0.002343%"
"2025-02-14 17:00:00","SUIUSDC Perpetual","8h","-0.001451%"
"2025-02-14 09:00:00","SUIUSDC Perpetual","8h","-0.000027%"
"2025-02-14 01:00:00","SUIUSDC Perpetual","8h","0.004862%"
"2025-02-13 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-13 09:00:00","SUIUSDC Perpetual","8h","-0.008898%"
"2025-02-13 01:00:00","SUIUSDC Perpetual","8h","0.006434%"
"2025-02-12 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-12 09:00:00","SUIUSDC Perpetual","8h","0.003609%"
"2025-02-12 01:00:00","SUIUSDC Perpetual","8h","0.003681%"
"2025-02-11 17:00:00","SUIUSDC Perpetual","8h","-0.002849%"
"2025-02-11 09:00:00","SUIUSDC Perpetual","8h","-0.009614%"
"2025-02-11 01:00:00","SUIUSDC Perpetual","8h","-0.001199%"
"2025-02-10 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-10 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-10 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-09 17:00:00","SUIUSDC Perpetual","8h","-0.002850%"
"2025-02-09 09:00:00","SUIUSDC Perpetual","8h","0.008163%"
"2025-02-09 01:00:00","SUIUSDC Perpetual","8h","0.004281%"
"2025-02-08 17:00:00","SUIUSDC Perpetual","8h","0.000101%"
"2025-02-08 09:00:00","SUIUSDC Perpetual","8h","0.001307%"
"2025-02-08 01:00:00","SUIUSDC Perpetual","8h","-0.008253%"
"2025-02-07 17:00:00","SUIUSDC Perpetual","8h","-0.012586%"
"2025-02-07 09:00:00","SUIUSDC Perpetual","8h","-0.005189%"
"2025-02-07 01:00:00","SUIUSDC Perpetual","8h","-0.010842%"
"2025-02-06 17:00:00","SUIUSDC Perpetual","8h","-0.016036%"
"2025-02-06 09:00:00","SUIUSDC Perpetual","8h","-0.000268%"
"2025-02-06 01:00:00","SUIUSDC Perpetual","8h","-0.027336%"
"2025-02-05 17:00:00","SUIUSDC Perpetual","8h","-0.020087%"
"2025-02-05 09:00:00","SUIUSDC Perpetual","8h","-0.005531%"
"2025-02-05 01:00:00","SUIUSDC Perpetual","8h","-0.033021%"
"2025-02-04 17:00:00","SUIUSDC Perpetual","8h","-0.004274%"
"2025-02-04 09:00:00","SUIUSDC Perpetual","8h","-0.044750%"
"2025-02-04 01:00:00","SUIUSDC Perpetual","8h","-0.043550%"
"2025-02-03 17:00:00","SUIUSDC Perpetual","8h","-0.025349%"
"2025-02-03 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-03 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-02 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-02 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-02 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-01 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-01 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-02-01 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-31 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-31 09:00:00","SUIUSDC Perpetual","8h","0.005545%"
"2025-01-31 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-30 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-30 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-30 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-29 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-29 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-29 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-28 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-28 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-28 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-27 17:00:00","SUIUSDC Perpetual","8h","0.017360%"
"2025-01-27 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-27 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-26 17:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-26 09:00:00","SUIUSDC Perpetual","8h","0.010000%"
"2025-01-26 01:00:00","SUIUSDC Perpetual","8h","0.010000%"
