Table 1
date,active_accounts,,,,,
2023-05-04,132174,,,,,
2023-05-05,137885,,,,,
2023-05-06,144385,,,,,
2023-05-07,150932,,,,,
2023-05-08,157374,,,,,
2023-05-09,163964,,,,,
2023-05-10,170581,,,,,
2023-05-11,177144,,,,,
2023-05-12,183820,,,,,
2023-05-13,190515,,,,,
2023-05-14,197270,,,,,
2023-05-15,203732,,,,,
2023-05-16,210318,,,,,
2023-05-17,216923,,,,,
2023-05-18,223517,,,,,
2023-05-19,230189,,,,,
2023-05-20,236520,,,,,
2023-05-21,243025,,,,,
2023-05-22,249639,,,,,
2023-05-23,256148,,,,,
2023-05-24,262410,,,,,
2023-05-25,269127,,,,,
2023-05-26,275599,,,,,
2023-05-27,282217,,,,,
2023-05-28,288745,,,,,
2023-05-29,294986,,,,,
2023-05-30,301345,,,,,
2023-05-31,307600,,,,,
2023-06-01,314212,,,,,
2023-06-02,321667,,,,,
2023-06-03,329314,,,,,
2023-06-04,336088,,,,,
2023-06-05,343057,,,,,
2023-06-06,349824,,,,,
2023-06-07,356780,,,,,
2023-06-08,364155,,,,,
2023-06-09,371569,,,,,
2023-06-10,378544,,,,,
2023-06-11,385660,,,,,
2023-06-12,393028,,,,,
2023-06-13,399571,,,,,
2023-06-14,406839,,,,,
2023-06-15,414300,,,,,
2023-06-16,421522,,,,,
2023-06-17,428945,,,,,
2023-06-18,436412,,,,,
2023-06-19,443619,,,,,
2023-06-20,450908,,,,,
2023-06-21,458437,,,,,
2023-06-22,465992,,,,,
2023-06-23,472808,,,,,
2023-06-24,480152,,,,,
2023-06-25,487521,,,,,
2023-06-26,494836,,,,,
2023-06-27,501909,,,,,
2023-06-28,509432,,,,,
2023-06-29,516607,,,,,
2023-06-30,524210,,,,,
2023-07-01,600412,,,,,
2023-07-02,611225,,,,,
2023-07-03,622688,,,,,
2023-07-04,635132,,,,,
2023-07-05,646513,,,,,
2023-07-06,658944,,,,,
2023-07-07,670560,,,,,
2023-07-08,682148,,,,,
2023-07-09,694010,,,,,
2023-07-10,706235,,,,,
2023-07-11,718388,,,,,
2023-07-12,729944,,,,,
2023-07-13,741012,,,,,
2023-07-14,753180,,,,,
2023-07-15,762711,,,,,
2023-07-16,780941,,,,,
2023-07-17,794180,,,,,
2023-07-18,806389,,,,,
2023-07-19,818550,,,,,
2023-07-20,830482,,,,,
2023-07-21,842201,,,,,
2023-07-22,853964,,,,,
2023-07-23,865139,,,,,
2023-07-24,876412,,,,,
2023-07-25,887770,,,,,
2023-07-26,899143,,,,,
2023-07-27,910668,,,,,
2023-07-28,921704,,,,,
2023-07-29,933201,,,,,
2023-07-30,944613,,,,,
2023-07-31,956202,,,,,
2023-08-01,967881,,,,,
2023-08-02,977414,,,,,
2023-08-03,987709,,,,,
2023-08-04,998422,,,,,
2023-08-05,1010641,,,,,
2023-08-06,1023722,,,,,
2023-08-07,1036404,,,,,
2023-08-08,1049137,,,,,
2023-08-09,1062223,,,,,
2023-08-10,1075788,,,,,
2023-08-11,1089088,,,,,
2023-08-12,1102617,,,,,
2023-08-13,1115538,,,,,
2023-08-14,1129155,,,,,
2023-08-15,1142322,,,,,
2023-08-16,1155622,,,,,
2023-08-17,1169171,,,,,
2023-08-18,1182180,,,,,
2023-08-19,1195055,,,,,
2023-08-20,1208252,,,,,
2023-08-21,1221211,,,,,
2023-08-22,1234387,,,,,
2023-08-23,1247510,,,,,
2023-08-24,1260477,,,,,
2023-08-25,1273320,,,,,
2023-08-26,1286412,,,,,
2023-08-27,1299088,,,,,
2023-08-28,1312194,,,,,
2023-08-29,1325801,,,,,
2023-08-30,1338106,,,,,
2023-08-31,1349982,,,,,
2023-09-01,1359288,,,,,
2023-09-02,1332514,,,,,
2023-09-03,1305792,,,,,
2023-09-04,1278950,,,,,
2023-09-05,1256024,,,,,
2023-09-06,1231477,,,,,
2023-09-07,1208843,,,,,
2023-09-08,1181968,,,,,
2023-09-09,1159034,,,,,
2023-09-10,1134232,,,,,
2023-09-11,1109537,,,,,
2023-09-12,1086272,,,,,
2023-09-13,1062244,,,,,
2023-09-14,1037988,,,,,
2023-09-15,1011210,,,,,
2023-09-16,984280,,,,,
2023-09-17,960412,,,,,
