date,tvl_cetus,apy_cetus,tvl_turbos,apy_turbos,merged_apy,merged_tvl
2024-02-02,,,21187,227.82141,227.82141,21187
2024-02-03,,,18657,143.79117,143.79117,18657
2024-02-04,,,18670,120.4798,120.4798,18670
2024-02-05,,,18648,238.34662,238.34662,18648
2024-02-06,,,18578,182.70756,182.70756,18578
2024-02-07,,,21265,396.76821,396.76821,21265
2024-02-08,,,20942,111.79862,111.79862,20942
2024-02-09,,,19218,228.02948,228.02948,19218
2024-02-10,,,17787,143.37956,143.37956,17787
2024-02-11,,,17784,128.88152,128.88152,17784
2024-02-12,,,20125,158.43661,158.43661,20125
2024-02-13,,,20043,215.96068,215.96068,20043
2024-02-14,,,20263,102.80457,102.80457,20263
2024-02-15,,,19905,166.72953,166.72953,19905
2024-02-16,,,19328,71.02577,71.02577,19328
2024-02-17,,,19251,47.91414,47.91414,19251
2024-02-18,,,19377,34.11121,34.11121,19377
2024-02-19,,,18334,56.93985,56.93985,18334
2024-02-20,,,18437,101.45496,101.45496,18437
2024-02-21,,,18617,208.5439,208.5439,18617
2024-02-22,,,20695,68.64689,68.64689,20695
2024-02-23,,,20047,81.8338,81.8338,20047
2024-02-24,,,20179,63.19729,63.19729,20179
2024-02-25,,,18980,40.68984,40.68984,18980
2024-02-26,,,19085,74.09774,74.09774,19085
2024-02-27,,,19090,86.42083,86.42083,19090
2024-02-28,,,19050,215.07455,215.07455,19050
2024-02-29,,,19249,156.35686,156.35686,19249
2024-03-01,,,19458,117.24819,117.24819,19458
2024-03-02,,,19229,145.76294,145.76294,19229
2024-03-03,,,18855,73.51816,73.51816,18855
2024-03-04,,,19911,124.11084,124.11084,19911
2024-03-05,,,21139,270.1616,270.1616,21139
2024-03-06,,,19650,132.02738,132.02738,19650
2024-03-07,,,19463,174.60349,174.60349,19463
2024-03-08,,,19434,127.95929,127.95929,19434
2024-03-09,,,19527,101.63453,101.63453,19527
2024-03-10,,,20770,190.6783,190.6783,20770
2024-03-11,,,20913,125.89968,125.89968,20913
2024-03-12,,,19899,81.62677,81.62677,19899
2024-03-13,,,20129,134.11248,134.11248,20129
2024-03-14,,,20079,160.76733,160.76733,20079
2024-03-15,,,19889,179.08772,179.08772,19889
2024-03-16,,,23638,322.1282,322.1282,23638
2024-03-17,,,23546,194.88596,194.88596,23546
2024-03-18,,,20346,358.43501,358.43501,20346
2024-03-19,,,21048,389.81843,389.81843,21048
2024-03-20,,,20090,231.36549,231.36549,20090
2024-03-21,,,20438,224.72308,224.72308,20438
2024-03-22,,,20100,73.02811,73.02811,20100
2024-03-23,,,18144,105.63394,105.63394,18144
2024-03-24,,,18200,100.10546,100.10546,18200
2024-03-25,,,18484,165.96444,165.96444,18484
