"Time","Contracts","Funding Interval","Funding Rate"
"2025-03-22 17:00:00","SUIUSDT Perpetual","8h","-0.016982%"
"2025-03-22 09:00:00","SUIUSDT Perpetual","8h","-0.017231%"
"2025-03-22 01:00:00","SUIUSDT Perpetual","8h","-0.012244%"
"2025-03-21 17:00:00","SUIUSDT Perpetual","8h","-0.001762%"
"2025-03-21 09:00:00","SUIUSDT Perpetual","8h","0.002316%"
"2025-03-21 01:00:00","SUIUSDT Perpetual","8h","-0.002347%"
"2025-03-20 17:00:00","SUIUSDT Perpetual","8h","0.000514%"
"2025-03-20 09:00:00","SUIUSDT Perpetual","8h","-0.000149%"
"2025-03-20 01:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-03-19 17:00:00","SUIUSDT Perpetual","8h","0.003889%"
"2025-03-19 09:00:00","SUIUSDT Perpetual","8h","-0.012325%"
"2025-03-19 01:00:00","SUIUSDT Perpetual","8h","-0.017652%"
"2025-03-18 17:00:00","SUIUSDT Perpetual","8h","-0.007539%"
"2025-03-18 09:00:00","SUIUSDT Perpetual","8h","0.005065%"
"2025-03-18 01:00:00","SUIUSDT Perpetual","8h","0.003074%"
"2025-03-17 17:00:00","SUIUSDT Perpetual","8h","0.007448%"
"2025-03-17 09:00:00","SUIUSDT Perpetual","8h","-0.001042%"
"2025-03-17 01:00:00","SUIUSDT Perpetual","8h","-0.007707%"
"2025-03-16 17:00:00","SUIUSDT Perpetual","8h","0.003423%"
"2025-03-16 09:00:00","SUIUSDT Perpetual","8h","0.003218%"
"2025-03-16 01:00:00","SUIUSDT Perpetual","8h","-0.005680%"
"2025-03-15 17:00:00","SUIUSDT Perpetual","8h","0.000780%"
"2025-03-15 09:00:00","SUIUSDT Perpetual","8h","0.009739%"
"2025-03-15 01:00:00","SUIUSDT Perpetual","8h","0.003549%"
"2025-03-14 17:00:00","SUIUSDT Perpetual","8h","-0.005684%"
"2025-03-14 09:00:00","SUIUSDT Perpetual","8h","-0.000202%"
"2025-03-14 01:00:00","SUIUSDT Perpetual","8h","0.001701%"
"2025-03-13 17:00:00","SUIUSDT Perpetual","8h","-0.012790%"
"2025-03-13 09:00:00","SUIUSDT Perpetual","8h","0.001946%"
"2025-03-13 01:00:00","SUIUSDT Perpetual","8h","-0.006601%"
"2025-03-12 17:00:00","SUIUSDT Perpetual","8h","-0.003770%"
"2025-03-12 09:00:00","SUIUSDT Perpetual","8h","-0.006523%"
"2025-03-12 01:00:00","SUIUSDT Perpetual","8h","0.009112%"
"2025-03-11 17:00:00","SUIUSDT Perpetual","8h","-0.001558%"
"2025-03-11 09:00:00","SUIUSDT Perpetual","8h","0.001897%"
"2025-03-11 01:00:00","SUIUSDT Perpetual","8h","0.001518%"
"2025-03-10 17:00:00","SUIUSDT Perpetual","8h","-0.005586%"
"2025-03-10 09:00:00","SUIUSDT Perpetual","8h","-0.001607%"
"2025-03-10 01:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-03-09 17:00:00","SUIUSDT Perpetual","8h","0.003322%"
"2025-03-09 09:00:00","SUIUSDT Perpetual","8h","-0.000389%"
"2025-03-09 01:00:00","SUIUSDT Perpetual","8h","-0.002295%"
"2025-03-08 17:00:00","SUIUSDT Perpetual","8h","-0.017307%"
"2025-03-08 09:00:00","SUIUSDT Perpetual","8h","0.000272%"
"2025-03-08 01:00:00","SUIUSDT Perpetual","8h","-0.006992%"
"2025-03-07 17:00:00","SUIUSDT Perpetual","8h","-0.037101%"
"2025-03-07 09:00:00","SUIUSDT Perpetual","8h","-0.028353%"
"2025-03-07 01:00:00","SUIUSDT Perpetual","8h","-0.025493%"
"2025-03-06 17:00:00","SUIUSDT Perpetual","8h","-0.012491%"
"2025-03-06 09:00:00","SUIUSDT Perpetual","8h","-0.008497%"
"2025-03-06 01:00:00","SUIUSDT Perpetual","8h","-0.014426%"
"2025-03-05 17:00:00","SUIUSDT Perpetual","8h","0.002358%"
"2025-03-05 09:00:00","SUIUSDT Perpetual","8h","-0.011239%"
"2025-03-05 01:00:00","SUIUSDT Perpetual","8h","-0.005405%"
"2025-03-04 17:00:00","SUIUSDT Perpetual","8h","-0.003767%"
"2025-03-04 09:00:00","SUIUSDT Perpetual","8h","-0.005097%"
"2025-03-04 01:00:00","SUIUSDT Perpetual","8h","-0.009060%"
"2025-03-03 17:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-03-03 09:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-03-03 01:00:00","SUIUSDT Perpetual","8h","-0.000915%"
"2025-03-02 17:00:00","SUIUSDT Perpetual","8h","0.003910%"
"2025-03-02 09:00:00","SUIUSDT Perpetual","8h","0.001923%"
"2025-03-02 01:00:00","SUIUSDT Perpetual","8h","0.004213%"
"2025-03-01 17:00:00","SUIUSDT Perpetual","8h","-0.004939%"
"2025-03-01 09:00:00","SUIUSDT Perpetual","8h","0.007644%"
"2025-03-01 01:00:00","SUIUSDT Perpetual","8h","-0.010124%"
"2025-02-28 17:00:00","SUIUSDT Perpetual","8h","0.000301%"
"2025-02-28 09:00:00","SUIUSDT Perpetual","8h","-0.011325%"
"2025-02-28 01:00:00","SUIUSDT Perpetual","8h","0.005188%"
"2025-02-27 17:00:00","SUIUSDT Perpetual","8h","0.005012%"
"2025-02-27 09:00:00","SUIUSDT Perpetual","8h","0.006462%"
"2025-02-27 01:00:00","SUIUSDT Perpetual","8h","-0.000493%"
"2025-02-26 17:00:00","SUIUSDT Perpetual","8h","-0.024725%"
"2025-02-26 09:00:00","SUIUSDT Perpetual","8h","-0.007890%"
"2025-02-26 01:00:00","SUIUSDT Perpetual","8h","-0.000845%"
"2025-02-25 17:00:00","SUIUSDT Perpetual","8h","-0.008808%"
"2025-02-25 09:00:00","SUIUSDT Perpetual","8h","-0.020761%"
"2025-02-25 01:00:00","SUIUSDT Perpetual","8h","-0.002781%"
"2025-02-24 17:00:00","SUIUSDT Perpetual","8h","0.009871%"
"2025-02-24 09:00:00","SUIUSDT Perpetual","8h","-0.002004%"
"2025-02-24 01:00:00","SUIUSDT Perpetual","8h","0.007128%"
"2025-02-23 17:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-02-23 09:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-02-23 01:00:00","SUIUSDT Perpetual","8h","0.003281%"
"2025-02-22 17:00:00","SUIUSDT Perpetual","8h","-0.007878%"
"2025-02-22 09:00:00","SUIUSDT Perpetual","8h","0.010000%"
"2025-02-22 01:00:00","SUIUSDT Perpetual","8h","-0.004838%"
"2025-02-21 17:00:00","SUIUSDT Perpetual","8h","-0.001617%"
"2025-02-21 09:00:00","SUIUSDT Perpetual","8h","-0.001407%"
"2025-02-21 01:00:00","SUIUSDT Perpetual","8h","-0.004690%"
"2025-02-20 17:00:00","SUIUSDT Perpetual","8h","-0.011732%"
"2025-02-20 09:00:00","SUIUSDT Perpetual","8h","-0.013760%"
"2025-02-20 01:00:00","SUIUSDT Perpetual","8h","0.001946%"
